"","Title","Author","Subject","Abstract","Meta"
"193","Global solution and singularity formation for the supersonic expanding wave of compressible Euler equations with radial symmetry","Geng Chen, Faris A. El-Katri, Yanbo Hu, Yannan Shen","Analysis of PDEs (math.AP)","In this paper, we define the rarefaction and compression characters for the supersonic expanding wave of the compressible Euler equations with radial symmetry. Under this new definition, we show that solutions with rarefaction initial data will not form shock in finite time, i.e. exist global-in-time as classical solutions. On the other hand, singularity forms in finite time when the initial data include strong compression somewhere. Several useful invariant domains will be also given.","Thu, 11 Apr 2024 15:15:35 UTC (34 KB)"
"194","iPREFER: An Intelligent Parameter Extractor based on Features for BSIM-CMG Models","Zhiliang Peng, Yicheng Wang, Zhengwu Yuan, Xingsheng Wang","Systems and Control (eess.SY)","This paper introduces an innovative parameter extraction method for BSIM-CMG compact models, seamlessly integrating curve feature extraction and machine learning techniques. This method offers a promising solution for bridging the division between TCAD and compact model, significantly contributing to the Design Technology Co-Optimization (DTCO) process. The key innovation lies in the development of an automated IV and CV curve feature extractor, which not only streamlines the analysis of device IV and CV curves but also enhances the consistency and efficiency of data processing. Validation on 5-nm nanosheet devices underscores the extractor's remarkable precision, with impressively low fitting errors of 0.42% for CV curves and 1.28% for IV curves. Furthermore, its adaptability to parameter variations, including those in Equivalent Oxide Thickness and Gate Length, solidifies its potential to revolutionize the TCAD-to-compact model transition. This universal BSIM-CMG model parameter extractor promises to improve the DTCO process, offering efficient process optimization and accurate simulations for semiconductor device performance prediction.","Thu, 11 Apr 2024 15:10:10 UTC (898 KB)"
"195","Trials Factor for Semi-Supervised NN Classifiers in Searches for Narrow Resonances at the LHC","Benjamin Lieberman, Andreas Crivellin, Salah-Eddine Dahbi, Finn Stevenson, Nidhi Tripathi, Mukesh Kumar, Bruce Mellado","High Energy Physics - Phenomenology (hep-ph)","To mitigate the model dependencies of searches for new narrow resonances at the Large Hadron Collider (LHC), semi-supervised Neural Networks (NNs) can be used. Unlike fully supervised classifiers these models introduce an additional look-elsewhere effect in the process of optimising thresholds on the response distribution. We perform a frequentist study to quantify this effect, in the form of a trials factor. As an example, we consider simulated $Z\gamma$ data to perform narrow resonance searches using semi-supervised NN classifiers. The results from this analysis provide substantiation that the look-elsewhere effect induced by the semi-supervised NN is under control.","Thu, 11 Apr 2024 15:06:15 UTC (2,225 KB)"
"196","The Cattaneo-Christov approximation of Fourier heat-conductive compressible fluids","Timothée Crin-Barat, Shuichi Kawashima, Jiang Xu","Analysis of PDEs (math.AP)","We investigate the Navier-Stokes-Cattaneo-Christov (NSC) system in $\mathbb{R}^d$ ($d\geq3$), a model of heat-conductive compressible flows serving as a finite speed of propagation approximation of the Navier-Stokes-Fourier (NSF) system. Due to the presence of Oldroyd's upper-convected derivatives, the system (NSC) exhibits a \textit{lack of hyperbolicity} which makes it challenging to establish its well-posedness, especially in multi-dimensional contexts. In this paper, within a critical regularity functional framework, we prove the global-in-time well-posedness of (NSC) for initial data that are small perturbations of constant equilibria, uniformly with respect to the approximation parameter $\varepsilon>0$. Then, building upon this result, we obtain the sharp large-time asymptotic behaviour of (NSC) and, for all time $t>0$, we derive quantitative error estimates between the solutions of (NSC) and (NSF). To the best of our knowledge, our work provides the first strong convergence result for this relaxation procedure in the three-dimensional setting and for ill-prepared data.
The (NSC) system is partially dissipative and incorporates both partial diffusion and partial damping mechanisms. To address these aspects and ensure the large-time stability of the solutions, we construct localized-in-frequency perturbed energy functionals based on the hypocoercivity theory. More precisely, our analysis relies on partitioning the frequency space into \textit{three} distinct regimes: low, medium and high frequencies. Within each frequency regime, we introduce effective unknowns and Lyapunov functionals, revealing the spectrally expected dissipative structures.","Thu, 11 Apr 2024 14:52:25 UTC (70 KB)"
"197","Generating Synthetic Satellite Imagery With Deep-Learning Text-to-Image Models -- Technical Challenges and Implications for Monitoring and Verification","Tuong Vy Nguyen, Alexander Glaser, Felix Biessmann","Computer Vision and Pattern Recognition (cs.CV)","Novel deep-learning (DL) architectures have reached a level where they can generate digital media, including photorealistic images, that are difficult to distinguish from real data. These technologies have already been used to generate training data for Machine Learning (ML) models, and large text-to-image models like DALL-E 2, Imagen, and Stable Diffusion are achieving remarkable results in realistic high-resolution image generation. Given these developments, issues of data authentication in monitoring and verification deserve a careful and systematic analysis: How realistic are synthetic images? How easily can they be generated? How useful are they for ML researchers, and what is their potential for Open Science? In this work, we use novel DL models to explore how synthetic satellite images can be created using conditioning mechanisms. We investigate the challenges of synthetic satellite image generation and evaluate the results based on authenticity and state-of-the-art metrics. Furthermore, we investigate how synthetic data can alleviate the lack of data in the context of ML methods for remote-sensing. Finally we discuss implications of synthetic satellite imagery in the context of monitoring and verification.","Thu, 11 Apr 2024 14:00:20 UTC (23,169 KB)"
"198","3D-CSAD: Untrained 3D Anomaly Detection for Complex Manufacturing Surfaces","Xuanming Cao, Chengyu Tao, Juan Du","Computer Vision and Pattern Recognition (cs.CV)","The surface quality inspection of manufacturing parts based on 3D point cloud data has attracted increasing attention in recent years. The reason is that the 3D point cloud can capture the entire surface of manufacturing parts, unlike the previous practices that focus on some key product characteristics. However, achieving accurate 3D anomaly detection is challenging, due to the complex surfaces of manufacturing parts and the difficulty of collecting sufficient anomaly samples. To address these challenges, we propose a novel untrained anomaly detection method based on 3D point cloud data for complex manufacturing parts, which can achieve accurate anomaly detection in a single sample without training data. In the proposed framework, we transform an input sample into two sets of profiles along different directions. Based on one set of the profiles, a novel segmentation module is devised to segment the complex surface into multiple basic and simple components. In each component, another set of profiles, which have the nature of similar shapes, can be modeled as a low-rank matrix. Thus, accurate 3D anomaly detection can be achieved by using Robust Principal Component Analysis (RPCA) on these low-rank matrices. Extensive numerical experiments on different types of parts show that our method achieves promising results compared with the benchmark methods.","Thu, 11 Apr 2024 13:46:05 UTC (6,818 KB)"
"199","Depth Estimation using Weighted-loss and Transfer Learning","Muhammad Adeel Hafeez, Michael G. Madden, Ganesh Sistu, Ihsan Ullah","Computer Vision and Pattern Recognition (cs.CV)","Depth estimation from 2D images is a common computer vision task that has applications in many fields including autonomous vehicles, scene understanding and robotics. The accuracy of a supervised depth estimation method mainly relies on the chosen loss function, the model architecture, quality of data and performance metrics. In this study, we propose a simplified and adaptable approach to improve depth estimation accuracy using transfer learning and an optimized loss function. The optimized loss function is a combination of weighted losses to which enhance robustness and generalization: Mean Absolute Error (MAE), Edge Loss and Structural Similarity Index (SSIM). We use a grid search and a random search method to find optimized weights for the losses, which leads to an improved model. We explore multiple encoder-decoder-based models including DenseNet121, DenseNet169, DenseNet201, and EfficientNet for the supervised depth estimation model on NYU Depth Dataset v2. We observe that the EfficientNet model, pre-trained on ImageNet for classification when used as an encoder, with a simple upsampling decoder, gives the best results in terms of RSME, REL and log10: 0.386, 0.113 and 0.049, respectively. We also perform a qualitative analysis which illustrates that our model produces depth maps that closely resemble ground truth, even in cases where the ground truth is flawed. The results indicate significant improvements in accuracy and robustness, with EfficientNet being the most successful architecture.","Thu, 11 Apr 2024 12:25:54 UTC (2,233 KB)"
"200","Run-time Monitoring of 3D Object Detection in Automated Driving Systems Using Early Layer Neural Activation Patterns","Hakan Yekta Yatbaz, Mehrdad Dianati, Konstantinos Koufos, Roger Woodman","Computer Vision and Pattern Recognition (cs.CV)","Monitoring the integrity of object detection for errors within the perception module of automated driving systems (ADS) is paramount for ensuring safety. Despite recent advancements in deep neural network (DNN)-based object detectors, their susceptibility to detection errors, particularly in the less-explored realm of 3D object detection, remains a significant concern. State-of-the-art integrity monitoring (also known as introspection) mechanisms in 2D object detection mainly utilise the activation patterns in the final layer of the DNN-based detector's backbone. However, that may not sufficiently address the complexities and sparsity of data in 3D object detection. To this end, we conduct, in this article, an extensive investigation into the effects of activation patterns extracted from various layers of the backbone network for introspecting the operation of 3D object detectors. Through a comparative analysis using Kitti and NuScenes datasets with PointPillars and CenterPoint detectors, we demonstrate that using earlier layers' activation patterns enhances the error detection performance of the integrity monitoring system, yet increases computational complexity. To address the real-time operation requirements in ADS, we also introduce a novel introspection method that combines activation patterns from multiple layers of the detector's backbone and report its performance.","Thu, 11 Apr 2024 12:24:47 UTC (10,043 KB)"
"201","Merger Analysis with Latent Price","Paul Koh","Econometrics (econ.EM)","Standard empirical tools for merger analysis assume price data, which may not be readily available. This paper characterizes sufficient conditions for identifying the unilateral effects of mergers without price data. I show that revenues, margins, and revenue diversion ratios are sufficient for identifying the gross upward pricing pressure indices, impact on consumer/producer surplus, and compensating marginal cost reductions associated with a merger. I also describe assumptions on demand that facilitate the identification of revenue diversion ratios and merger simulations. I use the proposed framework to evaluate the Staples/Office Depot merger (2016).","Thu, 11 Apr 2024 12:23:57 UTC (43 KB)"
"202","Consistent Distribution Free Affine Invariant Tests for the Validity of Independent Component Models","Marc Hallin, Simos G. Meintanis, Klaus Nordhausen","Methodology (stat.ME)","We propose a family of tests of the validity of the assumptions underlying independent component analysis methods. The tests are formulated as L2-type procedures based on characteristic functions and involve weights; a proper choice of these weights and the estimation method for the mixing matrix yields consistent and affine-invariant tests. Due to the complexity of the asymptotic null distribution of the resulting test statistics, implementation is based on permutational and resampling strategies. This leads to distribution-free procedures regardless of whether these procedures are performed on the estimated independent components themselves or the componentwise ranks of their components. A Monte Carlo study involving various estimation methods for the mixing matrix, various weights, and a competing test based on distance covariance is conducted under the null hypothesis as well as under alternatives. A real-data application demonstrates the practical utility and effectiveness of the method.","Thu, 11 Apr 2024 10:48:23 UTC (593 KB)"
"203","Lower semicontinuity and existence results for anisotropic TV functionals with signed measure data","Eleonora Ficola, Thomas Schmidt","Analysis of PDEs (math.AP)","We study the minimization of anisotropic total variation functionals with additional measure terms among functions of bounded variation subject to a Dirichlet boundary condition. More specifically, we identify and characterize certain isoperimetric conditions, which prove to be sharp assumptions on the signed measure data in connection with semicontinuity, existence, and relaxation results. Furthermore, we present a variety of examples which elucidate our assumptions and results.","Thu, 11 Apr 2024 10:44:07 UTC (270 KB)"
"204","State-Space Modeling of Shape-constrained Functional Time Series","Daichi Hiraki, Yasuyuki Hamura, Kaoru Irie, Shonosuke Sugasawa","Applications (stat.AP)","Functional time series data frequently appears in economic applications, where the functions of interest are subject to some shape constraints, including monotonicity and convexity, as typical of the estimation of the Lorenz curve. This paper proposes a state-space model for time-varying functions to extract trends and serial dependence from functional time series while imposing the shape constraints on the estimated functions. The function of interest is modeled by a convex combination of selected basis functions to satisfy the shape constraints, where the time-varying convex weights on simplex follow the dynamic multi-logit models. For the complicated likelihood of this model, a novel data augmentation technique is devised to enable posterior computation by an efficient Markov chain Monte Carlo method. The proposed method is applied to the estimation of time-varying Lorenz curves, and its utility is illustrated through numerical experiments and analysis of panel data of household incomes in Japan.","Thu, 11 Apr 2024 09:17:30 UTC (1,484 KB)"
"205","M-scan: A Multi-Scenario Causal-driven Adaptive Network for Recommendation","Jiachen Zhu, Yichao Wang, Jianghao Lin, Jiarui Qin, Ruiming Tang, Weinan Zhang, Yong Yu","Information Retrieval (cs.IR)","We primarily focus on the field of multi-scenario recommendation, which poses a significant challenge in effectively leveraging data from different scenarios to enhance predictions in scenarios with limited data. Current mainstream efforts mainly center around innovative model network architectures, with the aim of enabling the network to implicitly acquire knowledge from diverse scenarios. However, the uncertainty of implicit learning in networks arises from the absence of explicit modeling, leading to not only difficulty in training but also incomplete user representation and suboptimal performance. Furthermore, through causal graph analysis, we have discovered that the scenario itself directly influences click behavior, yet existing approaches directly incorporate data from other scenarios during the training of the current scenario, leading to prediction biases when they directly utilize click behaviors from other scenarios to train models. To address these problems, we propose the Multi-Scenario Causal-driven Adaptive Network M-scan). This model incorporates a Scenario-Aware Co-Attention mechanism that explicitly extracts user interests from other scenarios that align with the current scenario. Additionally, it employs a Scenario Bias Eliminator module utilizing causal counterfactual inference to mitigate biases introduced by data from other scenarios. Extensive experiments on two public datasets demonstrate the efficacy of our M-scan compared to the existing baseline models.","Thu, 11 Apr 2024 09:13:52 UTC (2,290 KB)"
"206","GAN-based iterative motion estimation in HASTE MRI","Mathias S. Feinler, Bernadette N. Hahn","Numerical Analysis (math.NA)","Magnetic Resonance Imaging allows high resolution data acquisition with the downside of motion sensitivity due to relatively long acquisition times. Even during the acquisition of a single 2D slice, motion can severely corrupt the image. Retrospective motion correction strategies do not interfere during acquisition time but operate on the motion affected data. Known methods suited to this scenario are compressed sensing (CS), generative adversarial networks (GANs), and explicit motion estimation. In this paper we propose an iterative approach which uses GAN predictions for motion estimation. The motion estimates allow to provide data consistent reconstructions and can improve reconstruction quality and reliability. With this approach, a clinical application of motion estimation is feasible without any further requirements on the acquisition trajectory i.e. no temporal redundancy is needed. We evaluate our proposed supervised network on motion corrupted HASTE acquisitions of brain and abdomen.","Thu, 11 Apr 2024 09:07:57 UTC (6,372 KB)"
"207","Bayesian Inference with Gaussian Processes for the Determination of Parton Distribution Functions","Alessandro Candido, Luigi Del Debbio, Tommaso Giani, Giacomo Petrillo","High Energy Physics - Phenomenology (hep-ph)","We discuss a Bayesian methodology for the solution of the inverse problem underlying the determination of parton distribution functions (PDFs). In our approach, Gaussian Processes (GPs) are used to model the PDF prior, while Bayes theorem is used in order to determine the posterior distribution of the PDFs given a set of data. We discuss the general formalism, the Bayesian inference at the level of both parameters and hyperparameters, and the simplifications which occur when the observable entering the analysis is linear in the PDF. We benchmark the new methodology in two simple examples for the determination of a single PDF flavor from a set of Deep Inelastic Scattering (DIS) data and from a set of equal-time correlators computed using lattice QCD. We discuss our results, showing how the proposed methodology allows for a well-defined statistical interpretation of the different sources of errors entering the PDF uncertainty, and how results can be validated a posteriori.","Thu, 11 Apr 2024 09:03:52 UTC (442 KB)"
"208","Orbital dynamics in the GG Tau A system: investigating its enigmatic disc","Claudia Toci, Simone Ceppi, Nicolás Cuello, Gaspard Duchêne, Enrico Ragusa, Giuseppe Lodato, Francesca Farina, François Ménard, Hossam Aly","Earth and Planetary Astrophysics (astro-ph.EP)","GG Tau is one of the most studied multiple young stellar systems: GG Tau A is a hierarchical triple surrounded by a massive disc and its companion, GG Tau B, is also a binary. Despite numerous observational attempts, an understanding of the geometry of the GG Tau A system is still elusive. We provide new astrometric measures of the system and we run a set of hydrodynamical simulations with two representative orbits to test how they impact a disc composed of dust and gas. We test the dynamical evolution of the two scenarios on short and long timescales. We obtain synthetic flux emission from our simulations and we compare them with 1300 $\mu$m ALMA dust continuum emission and 1.67 $\mu$m SPHERE dust scattering images to infer the most likely orbital arrangement. We extend the analysis of the binary orbital parameters using six new epochs from archival data, showing that the current measurements alone are not capable of breaking the degeneracy between families of coplanar and misaligned orbits. We found that the time-scale for the onset of the disc eccentricity growth, $\tau_{ecc}$, is a fundamental time-scale for the morphology of the system. Results from numerical simulations show that the best match between is obtained with the misaligned configuration ($\Delta\theta= 30^\circ$) on timescales shorter than $\tau_{ecc}$. The results exhibit an almost circular cavity and dust ring. However, for both scenarios, the cavity size and its eccentricity quickly grow for timescales longer than $\tau_{ecc}$ and the models do not reproduce the observed morphology anymore. This implies that either the age of the system is shorter than $\tau_{ecc}$ or that the disc eccentricity growth is not triggered or dissipated. This finding raises questions on the future evolution of the GG Tau A system and, more in general, on the time evolution of eccentric binaries and their circumbinary discs.","Thu, 11 Apr 2024 08:51:50 UTC (9,675 KB)"
"209","X-ray polarimetric features of Gamma-ray Bursts across varied redshifts and hints for Axion-Like-Particles","Qingxiang Zhang, Feng Huang, Zhongxiang Wang, Taotao Fang","High Energy Astrophysical Phenomena (astro-ph.HE)","Polarimetric features during the prompt phase of Gamma-ray Bursts (GRBs) have been essential for elucidating the debated emission mechanisms and gaining insight into the inner structure of GRBs. However, the potential impact of photon-Axion-Like-Particle (ALP) mixing in extragalactic magnetic fields, leading to significant modifications to the initial polarization state, has been overlooked in discussions concerning prompt phase constraints. In this work, we first examine the statistical characteristics of linear polarization degree ($\Pi_{L}$) in GRBs, by utilizing data from polarimetric missions focusing on sub-MeV emissions. Our analysis, conducted with a restricted sample of GRBs spanning various redshifts, reveals a diverse distribution of $\Pi_{L}$, which currently shows no correlation with the GRBs' spectral parameters or properties of candidate host galaxies. We then explore alternations to the initial $\Pi_{L}$ due to photon-ALP mixing within a domain-like structure of the intergalactic magnetic field (${\bf B}_{\rm IGM} $). With the existence of ALPs with $m_{a}$$~$$\lesssim$$~$$10^{-14}$$~$eV and $g_{a\gamma}~$$\simeq$$~0.5\times10^{-11}$, the mixing leads to a decrease in the polarization degree of initially fully linearly polarized photons, while it induces a certain degree of polarization to initially unpolarized photons. To ensure that the effect of mixing is small enough to be negligible, the mixing term $\Delta_{a\gamma} \equiv 1/2\ g_{a\gamma} {\bf B}_{\rm IGM}$ should be less than $1.5\times 10^{-4}$ Mpc$^{-1}$. Currently, the number of GRBs with both sub-MeV polarization measurement and redshift confirmation remains very limited. Certification of redshift for GRBs with low $\Pi_{L}$ would further constrain the parameter space of ALPs or provide an independent means to determine the upper limit on ${\bf B}_{\rm IGM}$.","Thu, 11 Apr 2024 08:36:21 UTC (2,354 KB)"
"210","How is Visual Attention Influenced by Text Guidance? Database and Model","Yinan Sun, Xiongkuo Min, Huiyu Duan, Guangtao Zhai","Computer Vision and Pattern Recognition (cs.CV)","The analysis and prediction of visual attention have long been crucial tasks in the fields of computer vision and image processing. In practical applications, images are generally accompanied by various text descriptions, however, few studies have explored the influence of text descriptions on visual attention, let alone developed visual saliency prediction models considering text guidance. In this paper, we conduct a comprehensive study on text-guided image saliency (TIS) from both subjective and objective perspectives. Specifically, we construct a TIS database named SJTU-TIS, which includes 1200 text-image pairs and the corresponding collected eye-tracking data. Based on the established SJTU-TIS database, we analyze the influence of various text descriptions on visual attention. Then, to facilitate the development of saliency prediction models considering text influence, we construct a benchmark for the established SJTU-TIS database using state-of-the-art saliency models. Finally, considering the effect of text descriptions on visual attention, while most existing saliency models ignore this impact, we further propose a text-guided saliency (TGSal) prediction model, which extracts and integrates both image features and text features to predict the image saliency under various text-description conditions. Our proposed model significantly outperforms the state-of-the-art saliency models on both the SJTU-TIS database and the pure image saliency databases in terms of various evaluation metrics. The SJTU-TIS database and the code of the proposed TGSal model will be released at: this https URL.","Thu, 11 Apr 2024 08:03:23 UTC (3,122 KB)"
"211","On the convergence analysis of one-shot inversion methods","Marcella Bonazzoli (IDEFIX), Houssem Haddar (IDEFIX), Tuan Anh Vu (IDEFIX)","Numerical Analysis (math.NA)","When an inverse problem is solved by a gradient-based optimization algorithm, the corresponding forward and adjoint problems, which are introduced to compute the gradient, can be also solved iteratively. The idea of iterating at the same time on the inverse problem unknown and on the forward and adjoint problem solutions yields the concept of one-shot inversion methods. We are especially interested in the case where the inner iterations for the direct and adjoint problems are incomplete, that is, stopped before achieving a high accuracy on their solutions. Here, we focus on general linear inverse problems and generic fixed-point iterations for the associated forward problem. We analyze variants of the so-called multi-step one-shot methods, in particular semi-implicit schemes with a regularization parameter. We establish sufficient conditions on the descent step for convergence, by studying the eigenvalues of the block matrix of the coupled iterations. Several numerical experiments are provided to illustrate the convergence of these methods in comparison with the classical gradient descent, where the forward and adjoint problems are solved exactly by a direct solver instead. We observe that very few inner iterations are enough to guarantee good convergence of the inversion algorithm, even in the presence of noisy data.","Thu, 11 Apr 2024 07:40:41 UTC (3,679 KB)"
"212","Characterizing the Influence of Topology on Graph Learning Tasks","Kailong Wu, Yule Xie, Jiaxin Ding, Yuxiang Ren, Luoyi Fu, Xinbing Wang, Chenghu Zhou","Machine Learning (cs.LG)","Graph neural networks (GNN) have achieved remarkable success in a wide range of tasks by encoding features combined with topology to create effective representations. However, the fundamental problem of understanding and analyzing how graph topology influences the performance of learning models on downstream tasks has not yet been well understood. In this paper, we propose a metric, TopoInf, which characterizes the influence of graph topology by measuring the level of compatibility between the topological information of graph data and downstream task objectives. We provide analysis based on the decoupled GNNs on the contextual stochastic block model to demonstrate the effectiveness of the metric. Through extensive experiments, we demonstrate that TopoInf is an effective metric for measuring topological influence on corresponding tasks and can be further leveraged to enhance graph learning.","Thu, 11 Apr 2024 06:04:06 UTC (606 KB)"
"213","Model-independent way to determine the Hubble constant and the curvature from phase shift of gravitational waves with DECIGO","Tonghua Liu, Shuo Cao, Marek Biesiada, Yilong Zhang, Jieci Wang","Cosmology and Nongalactic Astrophysics (astro-ph.CO)","In this Letter, we propose a model-independent method to determine the Hubble constant and curvature simultaneously taking advantage of the possibilities of future space-borne gravitational wave (GW) detector DECIGO in combination with the radio quasars as standard rulers. Similarly to the redshift drift in the electromagnetic domain, accelerating expansion of the Universe causes a characteristic phase correction to the gravitational waveform detectable by DECIGO. Hence, one would be able to extract the Hubble parameter $H(z)$. This could be used to recover distance-redshift relation supported by the data not relying on any specific cosmological model. Assuming the FLRW metric, and using intermediate luminosity radio quasars as standard rulers one achieves an interesting opportunity to directly assess $H_0$ and $\Omega_k$ parameters. To test this method we simulated a set of acceleration parameters achievable by future DECIGO. Based on the existing sample of 120 intermediate-luminosity radio-quasars calibrated as standard rulers, we simulated much bigger samples of such standard rulers possible to obtain with VLBI. In the case of $(N=100)$ of radio quasars, which is the size of currently available sample, the precision of cosmological parameters determined would be $\sigma_{H_0}=2.74$ ${\mathrm{~km~s^{-1}~Mpc^{-1}}}$ and $\sigma_{\Omega_k}=0.175$. In the optimistic scenario $(N = 1000)$ achievable by VLBI, the precision of $H_{0}$ would be improved to $1\%$, which is comparable to the result of $\sigma_{H_0} =0.54$ ${\mathrm{~km~s^{-1}~Mpc^{-1}}}$ from \emph{Planck} 2018 TT, TE, EE+lowE+lensing data, and the precision of $\Omega_k$ would be 0.050. Our results demonstrate that such combined analysis, possible in the future, could be helpful to solve the current cosmological issues concerning the Hubble tension and cosmic curvature tension.","Thu, 11 Apr 2024 01:21:20 UTC (232 KB)"
"214","Unveiling Behavioral Transparency of Protocols Communicated by IoT Networked Assets (Full Version)","Savindu Wannigama (1), Arunan Sivanathan (2), Ayyoob Hamza (2), Hassan Habibi Gharakheili (2) ((1) Department of Computer Engineering, University of Peradeniya, Sri Lanka. (2) School of EE&T, UNSW Sydney, Australia.)","Networking and Internet Architecture (cs.NI)","Behavioral transparency for Internet-of-Things (IoT) networked assets involves two distinct yet interconnected tasks: (a) characterizing device types by discerning the patterns exhibited in their network traffic, and (b) assessing vulnerabilities they introduce to the network. While identifying communication protocols, particularly at the application layer, plays a vital role in effective network management, current methods are, at best, ad-hoc. Accurate protocol identification and attribute extraction from packet payloads are crucial for distinguishing devices and discovering vulnerabilities. This paper makes three contributions: (1) We process a public dataset to construct specific packet traces pertinent to six standard protocols (TLS, HTTP, DNS, NTP, DHCP, and SSDP) of ten commercial IoT devices. We manually analyze TLS and HTTP flows, highlighting their characteristics, parameters, and adherence to best practices-we make our data publicly available; (2) We develop a common model to describe protocol signatures that help with the systematic analysis of protocols even when communicated through non-standard port numbers; and, (3) We evaluate the efficacy of our data models for the six protocols, which constitute approximately 97% of our dataset. Our data models, except for SSDP in 0.3% of Amazon Echo's flows, produce no false positives for protocol detection. We draw insights into how various IoT devices behave across those protocols by applying these models to our IoT traces.","Thu, 11 Apr 2024 00:47:14 UTC (88 KB)"
"215","Implementation of implicit filter for spatial spectra extraction","Kacper Nowak, Sergey Danilov, Vasco Müller, Caili Liu","Atmospheric and Oceanic Physics (physics.ao-ph)","Scale analysis based on coarse-graining has been proposed recently as an alternative to Fourier analysis. It is now broadly used to analyze energy spectra and energy transfers in eddy-resolving ocean simulations. However, for data from unstructured-mesh models it requires interpolation to a regular grid. We present a high-performance Python implementation of an alternative coarse-graining method which relies on implicit filters using discrete Laplacians. This method can work on arbitrary (structured or unstructured) meshes and is applicable to the direct output of unstructured-mesh ocean circulation atmosphere models. The computation is split into two phases: preparation and solving. The first one is specific only to the mesh. This allows for auxiliary arrays that are then computed to be reused, significantly reducing the computation time. The second part consists of sparse matrix algebra and solving linear system. Our implementation is accelerated by GPUs to achieve unmatched performance and scalability. This results in processing data based on meshes with more than 10M surface vertices in a matter of seconds. As an illustration, the method is applied to compute spatial spectra of ocean currents from high-resolution FESOM2 simulations.","Thu, 11 Apr 2024 00:19:15 UTC (6,261 KB)"
"216","Kinematic age of the $β$-Pictoris moving group","Jinhee Lee, Inseok Song","Solar and Stellar Astrophysics (astro-ph.SR)","Accurate age estimation of nearby young moving groups (NYMGs) is important as they serve as crucial testbeds in various fields of astrophysics, including formation and evolution of stars, planets, as well as loose stellar associations. The $\beta$-Pictoris moving group (BPMG), being one of the closest and youngest NYMGs, has been extensively investigated, and its estimated ages have a wide range from $\sim$10 to 25 Myr, depending on the age estimation methods and data used. Unlike other age dating methods, kinematic traceback analysis offers a model-independent age assessment hence the merit in comparing many seemingly discordant age estimates. In this study, we determine the kinematic ages of the BPMG using three methods: probabilistic volume calculation, mean pairwise distance calculation, and covariance matrix analysis. These methods yield consistent results, with estimated ages in the range of 14 to 20 Myr. Implementing corrections to radial velocities due to gravitational redshift and convectional blueshift increases the ages by $\sim2-4$ Myr. Conversely, considering data uncertainties decreases the estimated ages by 1 to 2 Myr. Taken together, our analysis determined the kinematic age of BPMG to be 16.3$^{+3.4}_{-2.1}$ Myr. This age is significantly younger than the commonly accepted age of the BPMG ($\sim$24 Myr) determined primarily from the lithium depletion boundary analysis. This younger kinematic age may point to the discrepancy between the luminosity evolution and lithium depletion models or the presence of unaccounted systematic error in the method. This result underscores the necessity for systematic reevaluations of age-dating methods for nearby, young moving groups.","Wed, 10 Apr 2024 23:49:38 UTC (3,315 KB)"
"217","ALMA-IMF XV: N$_2$H$^+$ kinematic analysis on the intermediate protocluster G353.41","R. H. Álvarez-Gutiérrez, A. M. Stutz, N. Sandoval-Garrido, F. Louvet, F. Motte, R. Galván-Madrid, N. Cunningham, P. Sanhueza, M. Bonfand, S. Bontemps, A. Gusdorf, T. Csengeri, S. D. Reyes, J. Salinas, T. Baug, L. Bronfman, G. Busquet, D. J. Díaz-González, M. Fernandez-Lopez, A. Guzmán, A. Koley, H.-L. Liu, F. A. Olguin, M. Valeille-Manet, F. Wyrowski","Astrophysics of Galaxies (astro-ph.GA)","The ALMA-IMF Large Program provides multi-tracer observations of 15 Galactic massive protoclusters at matched sensitivity and spatial resolution. We focus on the dense gas kinematics of the G353.41 protocluster traced by N$_2$H$^+$ (1$-$0), with a critical density of $2\times10^5$~cm$^{-3}$, and spatial resolution $\sim$0.02~pc. G353.41, at a distance of 2~kpc, is embedded in a larger scale ($\sim$8~pc) filament and has a mass of 2500~M$_{\odot}$ within $1.3\times1.3$~pc$^2$. We extract the N$_2$H$^+$ isolated line component and we decompose it by fitting up to 3 Gaussian velocity components. This allows us to identify velocity structures that are either muddled or impossible to identify in the traditional position-velocity diagram. We identify multiple velocity gradients (VGs) on large and small scales. We find good agreement between the N$_2$H$^+$ and the previously reported DCN core velocities, suggesting that cores are kinematically coupled to the dense gas in which they form. We measure 9 converging V-shaped VGs, located in filaments, that are sometimes associated with cores near their point of convergence. The average timescale associated with the V-shapes are $\sim$67~kyr, or about twice the free-fall time of cores in the same area ($\sim$~33~kyr) but substantially shorter than protostar lifetime estimates ($\sim$~0.5~Myr). We interpret these V-shapes as inflowing gas feeding the regions near cores and we derive their mass accretion rates. This feeding might lead to further filament collapse and formation of new cores. We suggest that the protocluster is collapsing on large scales, but the velocity signature of collapse is slow compared to pure free-fall. Thus these data are consistent with a comparatively slow global protocluster contraction under gravity, and faster core formation within, suggesting the formation of multiple generations of stars over the protocluster lifetime.","Wed, 10 Apr 2024 21:38:14 UTC (33,189 KB)"
